Date,Year,Pitcher,PitcherThrows,Inning,PAofInning,BatterSide,PitchofPA,Balls,Strikes,PitchType,ReleaseSpeed,InducedVertBreak,HorzBreak,ReleaseHeight,ReleaseSide,Extension,PlateHeight,PlateSide,SpinRate,SpinAxis,swing_prob,whiff_prob_gs,whiff_prob
4/8/2019,2019,Pitcher X,Left,2,2,Right,2,0,1,FASTBALL,92.59449768,16.3192997,-4.522140026,5.482800007,-1.165259957,5.806429863,3.750099897,0.314000994,1831.849976,164.7640076,0.523207724,0.438189328,0.229264041
4/8/2019,2019,Pitcher X,Left,2,2,Right,3,1,1,CHANGEUP,88.00260162,9.348690033,-14.58609962,5.47533989,-1.463080049,5.871679783,2.315190077,-0.917702019,1877.380005,124.435997,0.826429248,0.158968166,0.131375941
4/8/2019,2019,Pitcher X,Left,2,2,Right,4,1,2,FASTBALL,92.87030029,15.03139973,-10.03899956,5.443069935,-1.31348002,5.643970013,4.868879795,-1.509420037,2030.849976,147.1829987,0.003929443,0.763632655,0.003000651
4/8/2019,2019,Pitcher X,Left,2,2,Right,5,2,2,SLIDER,85.15950012,-2.064110041,2.447819948,5.313759804,-1.134050012,5.667669773,2.140779972,1.162850022,0,-45.21229935,0.888762295,0.238417283,0.211896291
4/8/2019,2019,Pitcher X,Left,2,2,Right,6,2,2,FASTBALL,93.61239624,13.79749966,-9.334609985,5.374040127,-1.22874999,6.190070152,3.808480024,-0.504279017,2021.579956,146.7720032,0.637866139,0.528109074,0.336862896
4/8/2019,2019,Pitcher X,Left,2,2,Right,7,3,2,FASTBALL,93.47090149,14.47509956,-5.558209896,5.42193985,-1.124279976,6.030220032,3.309600115,-1.167500019,1958.98999,159.2859955,0.260977954,0.34471041,0.089961817
4/8/2019,2019,Pitcher X,Left,2,3,Right,1,0,0,FASTBALL,92.42469788,12.70559978,-9.222929955,5.383900166,-1.298259974,5.987770081,3.16979003,-1.531419992,2017.920044,144.8930054,0.008427736,0.440282732,0.003710587
4/8/2019,2019,Pitcher X,Left,2,3,Right,2,1,0,CHANGEUP,86.25730133,4.134930134,-16.21829987,5.419690132,-1.327749968,5.794829845,3.108829975,-0.82665801,1775.880005,106.8199997,0.313928843,0.133026883,0.041760975
4/8/2019,2019,Pitcher X,Left,2,3,Right,3,1,1,CHANGEUP,87.438797,5.243370056,-14.33699989,5.325660229,-1.175690055,6.17193985,1.056699991,0.0577792,1749.310059,112.4100037,0.548841,0.48934567,0.268572967
4/8/2019,2019,Pitcher X,Left,2,3,Right,4,2,1,FASTBALL,92.74680328,13.37940025,-7.369840145,5.350029945,-1.14368999,6.265319824,2.968100071,0.133644,1883.619995,151.7109985,0.933229029,0.138484389,0.129237652
4/8/2019,2019,Pitcher X,Left,2,4,Right,1,0,0,FASTBALL,92.43470001,14.61380005,-7.936470032,5.486639977,-1.24406004,6.091020107,3.084709883,-1.156669974,1967.050049,152.1450043,0.050777666,0.372406095,0.018909912
4/8/2019,2019,Pitcher X,Left,2,4,Right,2,0,1,FASTBALL,92.46530151,18.17130089,-10.30379963,5.471129894,-1.147779942,5.772600174,2.678329945,0.489423007,2093.52002,151.3699951,0.852848649,0.140089393,0.119475049
4/8/2019,2019,Pitcher X,Left,2,4,Right,3,0,2,FASTBALL,91.02619934,18.68589973,-9.086159706,5.513510227,-1.139150023,5.671539783,4.190770149,0.065243803,2037.27002,154.8880005,0.350945115,0.553057492,0.194092825
